policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,denominator_sufficient,confirmatory_cell,operating_region
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,acceptable,200,2,0.01,0.0027466581335444384,0.0357217617161768,0.5,0.09453120573423074,0.9054687942657693,0.5,0.09453120573423074,0.9054687942657693,False,False,false_safe
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,insufficient,200,187,0.935,0.8919809207009312,0.961623645350847,0.026737967914438502,0.011473760074718398,0.06105481367559508,0.9732620320855615,0.9389451863244049,0.9885262399252817,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,insufficient,200,190,0.95,0.9104218518612239,0.972617354399236,0.031578947368421054,0.014551684237534043,0.06717210651946641,0.968421052631579,0.9328278934805336,0.985448315762466,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,500,insufficient,200,190,0.95,0.9104218518612239,0.972617354399236,0.031578947368421054,0.014551684237534043,0.06717210651946641,0.968421052631579,0.9328278934805336,0.985448315762466,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,insufficient,200,198,0.99,0.9642782382838231,0.9972533418664555,0.05555555555555555,0.03130117438121367,0.09672732368691807,0.9444444444444444,0.903272676313082,0.9686988256187864,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,insufficient,200,199,0.995,0.9722262956021069,0.9991168312843989,0.05527638190954774,0.03114245720959706,0.0962548656598722,0.9447236180904522,0.9037451343401277,0.9688575427904029,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,750,insufficient,200,199,0.995,0.9722262956021069,0.9991168312843989,0.05527638190954774,0.03114245720959706,0.0962548656598722,0.9447236180904522,0.9037451343401277,0.9688575427904029,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p01,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,5,insufficient,200,91,0.455,0.387482193098835,0.524213886275119,0.04395604395604396,0.01722436644411733,0.10763093384266353,0.9560439560439561,0.8923690661573366,0.9827756335558827,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,8,insufficient,200,76,0.38,0.31559005848673627,0.44893281984380773,0.05263157894736842,0.020655429299384284,0.12765672575889647,0.9473684210526315,0.8723432742411035,0.9793445707006156,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,10,acceptable,200,127,0.635,0.566317026527406,0.698594735350732,0.11023622047244094,0.06681000217884539,0.17654909139660796,0.889763779527559,0.8234509086033921,0.9331899978211546,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,10,insufficient,200,73,0.365,0.301405264649268,0.433682973472594,0.0273972602739726,0.007545758679607641,0.09450148171690531,0.9726027397260274,0.9054985182830946,0.9924542413203923,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,15,insufficient,200,89,0.445,0.3778060100295335,0.5142669758719658,0.011235955056179775,0.001986183228256385,0.060932462115046646,0.9887640449438202,0.9390675378849535,0.9980138167717437,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,15,insufficient,200,46,0.23,0.17709343259068805,0.2930830436530359,0.0,0.0,0.07707356308558039,1.0,0.9229264369144198,1.0000000000000002,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,15,insufficient,200,46,0.23,0.17709343259068805,0.2930830436530359,0.0,0.0,0.07707356308558039,1.0,0.9229264369144198,1.0000000000000002,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,acceptable,200,101,0.505,0.43627000033527485,0.5735415464009526,0.19801980198019803,0.13200501483806298,0.2861640884331373,0.801980198019802,0.7138359115668629,0.8679949851619371,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,insufficient,200,99,0.495,0.4264584535990475,0.5637299996647251,0.04040404040404041,0.015822638994147556,0.09932021250254229,0.9595959595959596,0.9006797874974577,0.9841773610058524,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,insufficient,200,66,0.33,0.26857425870603957,0.39783315226223115,0.0,0.0,0.05500255701354129,1.0,0.9449974429864586,0.9999999999999999,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,20,insufficient,200,66,0.33,0.26857425870603957,0.39783315226223115,0.0,0.0,0.05500255701354129,1.0,0.9449974429864586,0.9999999999999999,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,acceptable,200,79,0.395,0.32984101013207967,0.46411650840714636,0.26582278481012656,0.1809333769412442,0.3724303550992005,0.7341772151898734,0.6275696449007995,0.8190666230587558,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,insufficient,200,121,0.605,0.5358834915928536,0.6701589898679203,0.01652892561983471,0.004544593546124867,0.05826674248573428,0.9834710743801653,0.9417332575142658,0.9954554064538752,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,insufficient,200,101,0.505,0.43627000033527485,0.5735415464009526,0.0,0.0,0.03664064639985608,1.0,0.9633593536001439,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,30,insufficient,200,101,0.505,0.43627000033527485,0.5735415464009526,0.0,0.0,0.03664064639985608,1.0,0.9633593536001439,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,acceptable,200,69,0.345,0.2825979437674894,0.4132441074094632,0.34782608695652173,0.24618141928624354,0.4655212245104244,0.6521739130434783,0.5344787754895757,0.7538185807137565,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,insufficient,200,124,0.62,0.5510671801561923,0.6844099415132637,0.008064516129032258,0.0014250064581251692,0.04426798605447708,0.9919354838709677,0.9557320139455229,0.9985749935418747,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,insufficient,200,118,0.59,0.5207645903369208,0.6558432509151711,0.0,-3.469446951953614e-18,0.03152833902249433,1.0,0.9684716609775057,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,40,insufficient,200,118,0.59,0.5207645903369208,0.6558432509151711,0.0,-3.469446951953614e-18,0.03152833902249433,1.0,0.9684716609775057,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,acceptable,200,55,0.275,0.21779700329307355,0.34068339357669647,0.5636363636363636,0.43269816346414447,0.6862655763936809,0.43636363636363634,0.3137344236063191,0.5673018365358555,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,insufficient,200,145,0.725,0.6593166064233035,0.7822029967069265,0.006896551724137931,0.00121844987051168,0.038027731045594475,0.993103448275862,0.9619722689544055,0.9987815501294883,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,insufficient,200,145,0.725,0.6593166064233035,0.7822029967069265,0.006896551724137931,0.00121844987051168,0.038027731045594475,0.993103448275862,0.9619722689544055,0.9987815501294883,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,50,insufficient,200,145,0.725,0.6593166064233035,0.7822029967069265,0.006896551724137931,0.00121844987051168,0.038027731045594475,0.993103448275862,0.9619722689544055,0.9987815501294883,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,acceptable,200,17,0.085,0.05374575017747561,0.13189587071565567,0.7647058823529411,0.5273820188043501,0.9044495567791988,0.23529411764705882,0.09555044322080117,0.4726179811956498,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,insufficient,200,180,0.9,0.8505941875672826,0.9343295513309041,0.022222222222222223,0.008674923426990527,0.05573633014255083,0.9777777777777777,0.944263669857449,0.9913250765730094,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,insufficient,200,179,0.895,0.8448196800887696,0.9302925120731899,0.0223463687150838,0.008723574404384326,0.056039958423838215,0.9776536312849162,0.9439600415761618,0.9912764255956157,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,80,insufficient,200,179,0.895,0.8448196800887696,0.9302925120731899,0.0223463687150838,0.008723574404384326,0.056039958423838215,0.9776536312849162,0.9439600415761618,0.9912764255956157,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,359,0.0718,0.06496832668290924,0.0792891332628377,0.7409470752089137,0.6932446794291396,0.7835475828506009,0.2590529247910863,0.21645241714939922,0.3067553205708604,True,True,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4606,0.9212,0.9134045309031973,0.9283487569782867,0.0243161094224924,0.020248489117206957,0.029176520583447985,0.9756838905775076,0.970823479416552,0.979751510882793,True,True,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,,False,True,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4588,0.9176,0.9096538645554316,0.9249049507800567,0.023539668700959023,0.01953506244026812,0.028341472669277057,0.976460331299041,0.971658527330723,0.9804649375597319,True,True,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,acceptable,5000,0,0.0,0.0,0.0007677019450571244,,,,,,,False,True,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,100,insufficient,5000,4588,0.9176,0.9096538645554316,0.9249049507800567,0.023539668700959023,0.01953506244026812,0.028341472669277057,0.976460331299041,0.971658527330723,0.9804649375597319,True,True,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,200,acceptable,200,1,0.005,0.0008831687156009814,0.02777370439789293,1.0,0.20654931437723745,1.0,0.0,0.0,0.7934506856227626,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,insufficient,200,200,1.0,0.9811546736227335,1.0,0.03,0.013820314340111346,0.06389429245451925,0.97,0.9361057075454807,0.9861796856598887,True,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,insufficient,200,200,1.0,0.9811546736227335,1.0,0.03,0.013820314340111346,0.06389429245451925,0.97,0.9361057075454807,0.9861796856598887,True,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,500,insufficient,200,200,1.0,0.9811546736227335,1.0,0.03,0.013820314340111346,0.06389429245451925,0.97,0.9361057075454807,0.9861796856598887,True,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,750,insufficient,200,200,1.0,0.9811546736227335,1.0,0.05,0.02738264560076393,0.08957814813877599,0.95,0.9104218518612239,0.972617354399236,True,False,false_insufficient
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411,True,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411,True,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p025,normal_contamination_asymmetric,2000,insufficient,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411,True,False,false_insufficient
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,5,acceptable,200,84,0.42,0.35373599161616726,0.4892792606041954,0.13095238095238096,0.07472221316943048,0.21946072923186608,0.8690476190476191,0.780539270768134,0.9252777868305695,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,5,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,8,acceptable,200,116,0.58,0.5107207393958046,0.6462640083838327,0.19827586206896552,0.13591272407554178,0.2799822367432057,0.8017241379310345,0.7200177632567943,0.8640872759244582,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,8,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,10,acceptable,200,93,0.465,0.3971856415700402,0.5341335312763685,0.27956989247311825,0.19850339172000364,0.37812421695828824,0.7204301075268817,0.6218757830417118,0.8014966082799965,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,10,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,acceptable,200,73,0.365,0.301405264649268,0.433682973472594,0.3972602739726027,0.29286701857646835,0.5119258597705996,0.6027397260273972,0.4880741402294003,0.7071329814235315,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,insufficient,200,127,0.635,0.566317026527406,0.698594735350732,0.031496062992125984,0.012315000096796348,0.07818734470602129,0.968503937007874,0.9218126552939786,0.9876849999032037,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,insufficient,200,65,0.325,0.2639157153923429,0.3926801488397004,0.0,0.0,0.05580153132285689,1.0,0.9441984686771432,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,15,insufficient,200,65,0.325,0.2639157153923429,0.3926801488397004,0.0,0.0,0.05580153132285689,1.0,0.9441984686771432,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,acceptable,200,79,0.395,0.32984101013207967,0.46411650840714636,0.4810126582278481,0.37429730453787924,0.5894889440059407,0.5189873417721519,0.4105110559940594,0.6257026954621209,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,insufficient,200,121,0.605,0.5358834915928536,0.6701589898679203,0.03305785123966942,0.012929181394125314,0.08192279272211472,0.9669421487603306,0.9180772072778853,0.9870708186058748,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,insufficient,200,68,0.34,0.27791545970908793,0.4081150447316374,0.0,0.0,0.053471336520070537,1.0,0.9465286634799296,1.0000000000000002,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,20,insufficient,200,68,0.34,0.27791545970908793,0.4081150447316374,0.0,0.0,0.053471336520070537,1.0,0.9465286634799296,1.0000000000000002,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,acceptable,200,34,0.17,0.12427907912586969,0.22815883628312625,0.8529411764705882,0.6987194350454783,0.9355055855521753,0.14705882352941177,0.06449441444782457,0.3012805649545216,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,insufficient,200,166,0.83,0.7718411637168737,0.8757209208741302,0.030120481927710843,0.012932886525083166,0.06856346258074322,0.9698795180722891,0.9314365374192567,0.9870671134749168,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,insufficient,200,118,0.59,0.5207645903369208,0.6558432509151711,0.0,-3.469446951953614e-18,0.03152833902249433,1.0,0.9684716609775057,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,30,insufficient,200,118,0.59,0.5207645903369208,0.6558432509151711,0.0,-3.469446951953614e-18,0.03152833902249433,1.0,0.9684716609775057,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,acceptable,200,21,0.105,0.06970748792681017,0.1551803199112304,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.23809523809523808,0.10628013022636468,0.4509117368295075,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,insufficient,200,179,0.895,0.8448196800887696,0.9302925120731899,0.00558659217877095,0.0009868523514691765,0.030961365839147145,0.994413407821229,0.9690386341608527,0.9990131476485308,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,insufficient,200,155,0.775,0.7122587676433947,0.8273763028491088,0.0,0.0,0.024184232814371848,1.0,0.9758157671856282,1.0,False,False,false_insufficient
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_scenario_context,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,40,insufficient,200,155,0.775,0.7122587676433947,0.8273763028491088,0.0,0.0,0.024184232814371848,1.0,0.9758157671856282,1.0,False,False,false_insufficient
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,50,acceptable,200,14,0.07,0.042152171828342806,0.11405480885610647,0.9285714285714286,0.6853129557584889,0.9872777847521093,0.07142857142857142,0.012722215247890939,0.31468704424151117,False,False,false_safe
v2,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,50,insufficient,200,183,0.915,0.8681041292843443,0.9462542498225244,0.0273224043715847,0.011725746680430384,0.06235555683784999,0.9726775956284153,0.93764444316215,0.9882742533195696,False,False,false_insufficient
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,50,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,,False,False,false_safe
v3_default,contamination_asymmetric_eps_0p05,normal_contamination_asymmetric,50,insufficient,200,177,0.885,0.8333528310151243,0.9221362676743804,0.02824858757062147,0.012125187155558284,0.06441400308852203,0.9717514124293786,0.9355859969114779,0.9878748128444417,False,False,false_insufficient
