scenario,distribution_family,distribution_parameters,n,evidence_tier,decision_scope,total_replications,conditional_denominator,classification_count,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_rejections,type_i_error,type_i_ci95_lower,type_i_ci95_upper,coverage_successes,ci_coverage,coverage_ci95_lower,coverage_ci95_upper,mean_bias,rmse,mean_standard_error,empirical_sd_sample_mean,mean_se_to_empirical_sd_ratio,probability_extreme_count_positive,outlier_warn_rate,mean_extreme_count,mean_extreme_fraction,mean_delta_mean_remove_extremes,median_influence_ratio,p90_influence_ratio,mean_delta_standard_error_remove_extremes,mean_delta_t_statistic_remove_extremes,exact_normality_rejection_rate,shape_pass_rate
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",10,exploratory,insufficient,200,126,126,0.63,0.5612262992405018,0.6938739159014088,6,0.047619047619047616,0.02200448838795111,0.10000167947689512,120,0.9523809523809523,0.8999983205231048,0.9779955116120489,-0.0799375476913252,0.23233892224014346,0.3012645947568932,0.21902532767436508,1.375478342873647,0.8492063492063492,0.8492063492063492,1.246031746031746,0.12460317460317462,0.2752757428918569,0.8717641845726799,1.4233958939134845,0.1204911082414816,2.348377082142827,0.753968253968254,0.14285714285714285
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",15,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,14,0.07,0.042152171828342806,0.11405480885610647,186,0.93,0.8859451911438936,0.9578478281716571,-0.017484855467845964,0.2626156493954006,0.2517627581171904,0.26269048439101184,0.9584007532699371,0.595,0.595,1.105,0.07366666666666666,0.1699758685071614,0.6621175474085544,1.5530112499449913,0.06237189505677372,1.7780308803300588,0.765,0.42
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",15,exploratory,acceptable,200,66,66,0.33,0.26857425870603957,0.39783315226223115,8,0.12121212121212122,0.06271845599597657,0.22137439022640315,58,0.8787878787878788,0.7786256097735968,0.9372815440040234,0.1484446055128332,0.34178501707206654,0.26314679636467914,0.31022470767245924,0.8482457710702856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4696969696969697,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",15,exploratory,caution,200,0,0,0.0,1.734723475976807e-18,0.018845326377266575,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",15,exploratory,insufficient,200,134,134,0.67,0.602166847737769,0.7314257412939605,6,0.04477611940298507,0.020680488853388614,0.09424472273553466,128,0.9552238805970149,0.9057552772644654,0.9793195111466114,-0.09921130639862821,0.21307055100254388,0.24615569450275557,0.18927101220020304,1.3005461937424536,0.8880597014925373,0.8880597014925373,1.6492537313432836,0.10995024875621891,0.25369532613009166,1.0176347502639973,1.753273568764482,0.09309238068175182,2.653777433328446,0.9104477611940298,0.13432835820895522
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",20,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,9,0.045,0.023852543001492997,0.0832967040018196,191,0.955,0.9167032959981803,0.976147456998507,0.019137774407443107,0.21038108515107015,0.2252018955834145,0.21003456662166686,1.072213489454183,0.66,0.66,1.68,0.08400000000000002,0.19848384197504645,0.7064699891894355,2.0184496458957204,0.054160760385007445,1.8546550210219295,0.89,0.41
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",20,exploratory,acceptable,200,55,55,0.275,0.21779700329307355,0.34068339357669647,6,0.10909090909090909,0.05096725000782336,0.21825549086553508,49,0.8909090909090909,0.7817445091344648,0.9490327499921767,0.14799501405630047,0.28173958406066174,0.23403512919448377,0.24194837210474135,0.9672936716150672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6363636363636364,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",20,exploratory,caution,200,0,0,0.0,1.734723475976807e-18,0.018845326377266575,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",20,exploratory,insufficient,200,145,145,0.725,0.6593166064233035,0.7822029967069265,3,0.020689655172413793,0.007060912231321711,0.05905950138643182,142,0.9793103448275862,0.9409404986135681,0.9929390877686783,-0.029739109597295903,0.1758975910991718,0.2218513586964572,0.17396628120872587,1.2752549353531246,0.9103448275862069,0.9103448275862069,2.317241379310345,0.11586206896551722,0.27377081651730545,1.276321249587815,2.0342469727110806,0.07470449708276887,2.5581448565819715,0.9862068965517241,0.18620689655172415
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",30,exploratory,all,200,200,200,1.0,0.9811546736227335,1.0,11,0.055,0.03098534170345884,0.0957869987723084,189,0.945,0.9042130012276914,0.9690146582965411,0.014080201394465022,0.19254701070901134,0.1815532386527407,0.19251339250330896,0.943068096676028,0.77,0.77,2.585,0.08616666666666667,0.2036976284159946,1.1657428149032896,2.2461432359492908,0.04481717285114843,2.2194595826020573,0.985,0.4
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",30,exploratory,acceptable,200,42,42,0.21,0.15928412069979,0.2716461685990246,4,0.09523809523809523,0.03766224880557388,0.22065105808571023,38,0.9047619047619048,0.7793489419142897,0.9623377511944261,0.23083467053999454,0.28901434181369906,0.20157889325614725,0.17601795053479907,1.1452178180900632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,1.0
bimodal_asymmetric,bimodal,"{""centered_and_standardized"":true,""means"":[-1.0,4.0],""sds"":[1.0,1.0],""weights"":[0.8,0.2]}",30,exploratory,caution,200,0,0,0.0,1.734723475976807e-18,0.018845326377266575,0,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
