scenario,family,nominal_group_n,group_sizes,scale_multipliers,effect_size,hypothesis,seed,replications,classical_rejection_rate,welch_rejection_rate,selected_unconditional_rejection_rate,selected_conditional_rejection_rate,acceptable_rejection_rate,caution_rejection_rate,acceptable_rate,caution_rate,insufficient_rate,welch_selection_rate,classical_selection_rate,classical_eligible_rate,false_acceptable_rate,excessive_conservatism,median_max_abs_skewness,median_max_abs_excess_kurtosis,median_max_outlier_fraction,median_variance_ratio,policy_version
normal_equal_balanced,normal,60,60;60;60,1.0;1.0;1.0,0.8,H1,20260828,100,0.98,0.98,0.98,0.98,0.9836065573770492,0.9743589743589743,0.61,0.39,0.0,1.0,0.0,0.98,0.0,False,0.39582192684284895,0.6918375019110126,0.0,1.3361956841912312,anova-v1-2026-08
normal_equal_balanced,normal,60,60;60;60,1.0;1.0;1.0,0.8,H1,20260829,100,0.99,0.99,0.99,0.99,0.9836065573770492,1.0,0.61,0.39,0.0,1.0,0.0,0.98,0.0,False,0.3752702658823912,0.7489846822958541,0.0,1.329941835953563,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.0,H0,20260827,100,0.06,0.08,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.8515791409177771,1.8873177734842899,0.0,2.590581870967456,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.0,H0,20260828,100,0.11,0.06,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.8834275966851426,2.0883345455626325,0.0,2.3693200515505586,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.0,H0,20260829,100,0.07,0.08,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.8785626236931541,1.869590700649677,0.0,2.2804740766741274,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.8,H1,20260827,100,0.23,0.17,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.9523093224101633,1.8942343528417553,0.0,2.3301949580270636,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.8,H1,20260828,100,0.29,0.32,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,1.0162328439115722,1.8947313933558956,0.0,2.3866146720164494,anova-v1-2026-08
normal_equal_unbalanced,normal,10,5;10;20,1.0;1.0;1.0,0.8,H1,20260829,100,0.24,0.17,0.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,0.889354312535537,1.9945660087422619,0.0,2.343056160848801,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.0,H0,20260827,100,0.03,0.03,0.03,0.033707865168539325,,0.033707865168539325,0.0,0.89,0.11,0.89,0.0,0.7,0.0,False,0.6025783153730909,1.012246312037952,0.0,1.7047339593066888,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.0,H0,20260828,100,0.06,0.08,0.08,0.08602150537634409,,0.08602150537634409,0.0,0.93,0.07,0.93,0.0,0.82,0.0,False,0.6186934173287871,1.112339334828352,0.0,1.6762422098338763,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.0,H0,20260829,100,0.05,0.05,0.04,0.045454545454545456,,0.045454545454545456,0.0,0.88,0.12,0.88,0.0,0.79,0.0,False,0.5108214282917999,1.0534506897454698,0.0,1.5178930788081733,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.8,H1,20260827,100,0.66,0.63,0.62,0.6458333333333334,,0.6458333333333334,0.0,0.96,0.04,0.96,0.0,0.88,0.0,False,0.550512137448933,0.9431339005260186,0.0,1.6402279945879719,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.8,H1,20260828,100,0.61,0.6,0.55,0.5978260869565217,,0.5978260869565217,0.0,0.92,0.08,0.92,0.0,0.83,0.0,False,0.5788984625410643,0.9919512122953624,0.0,1.7183264877316928,anova-v1-2026-08
normal_equal_unbalanced,normal,25,12;25;50,1.0;1.0;1.0,0.8,H1,20260829,100,0.78,0.7,0.62,0.6966292134831461,,0.6966292134831461,0.0,0.89,0.11,0.89,0.0,0.74,0.0,False,0.5557136521960556,1.0915505217036863,0.0,1.7118786867167581,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.0,H0,20260827,100,0.07,0.09,0.09,0.09,0.10294117647058823,0.0625,0.68,0.32,0.0,1.0,0.0,0.93,0.68,False,0.3743040074137417,0.6755259023484679,0.0,1.4099925681309557,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.0,H0,20260828,100,0.04,0.05,0.05,0.05,0.034482758620689655,0.07142857142857142,0.58,0.42,0.0,1.0,0.0,0.95,0.0,False,0.4003230383950984,0.7754765942515611,0.0,1.3224957789702565,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.0,H0,20260829,100,0.05,0.05,0.05,0.05,0.038461538461538464,0.0625,0.52,0.48,0.0,1.0,0.0,0.92,0.0,False,0.4162756648677958,0.7956623601513901,0.0,1.40158457098129,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.8,H1,20260827,100,0.97,0.97,0.97,0.97,0.9692307692307692,0.9714285714285714,0.65,0.35,0.0,1.0,0.0,0.94,0.0,False,0.3819222049770683,0.6484169537102573,0.0,1.3827867986559346,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.8,H1,20260828,100,0.99,0.99,0.98,0.98989898989899,0.9836065573770492,1.0,0.61,0.38,0.01,0.99,0.0,0.91,0.0,False,0.4106158274073959,0.6388542571916838,0.0,1.3241662730208668,anova-v1-2026-08
normal_equal_unbalanced,normal,60,30;60;120,1.0;1.0;1.0,0.8,H1,20260829,100,0.98,0.96,0.96,0.96,0.9482758620689655,0.9761904761904762,0.58,0.42,0.0,1.0,0.0,0.96,0.0,False,0.41361107115212536,0.7564689791088095,0.0,1.3166027531849833,anova-v1-2026-08
normal_unequal_balanced,normal,10,10;10;10,1.0;2.0;4.0,0.0,H0,20260827,100,0.05,0.04,0.03,0.039473684210526314,,0.039473684210526314,0.0,0.76,0.24,0.76,0.0,0.0,0.0,False,0.8194397560302569,1.4814448049436737,0.0,18.28398970807398,anova-v1-2026-08
normal_unequal_balanced,normal,10,10;10;10,1.0;2.0;4.0,0.0,H0,20260828,100,0.07,0.05,0.04,0.05263157894736842,,0.05263157894736842,0.0,0.76,0.24,0.76,0.0,0.0,0.0,False,0.8431929868582514,1.4381577130033376,0.0,13.10849561226721,anova-v1-2026-08
